Target,Source,Interaction,Inhibition,stimulation
RCH20P,RDP27,-4,inhibition,none
RCH20P,E5,-4,inhibition,none
RCH20P,RP5,-4,inhibition,none
RCH20P,BM7,0,none,none
RCH20P,BM12,-4,inhibition,none
RCH20P,BM25,-3,inhibition,none
RCH20P,R23,1,none,stimulation
RCH20P,S20,-2,inhibition,none
RCH20P,RPA1,0,none,none
RCH20P,RPC5,0,none,none
RCH20P,SH9,2,none,stimulation
RCH20P,RCH25,-2,inhibition,none
RCH20P,E15,0,none,none
RCH20P,BM23,0,none,none
RCH20P,E4,1,none,stimulation
RCH20P,RPE3,-1,inhibition,none
RCH20P,Z2,0,none,none
RCH20P,RDH25,0,none,none
RCH20P,SCH24,-2,inhibition,none
RCH20P,E12,1,none,stimulation
RCH20P,BM13,0,none,none
RCH20P,BM1,0,none,none
RCH20P,SCH4,-2,inhibition,none
RCH20P,BM4,0,none,none
RCH20P,RDH6,-3,inhibition,none
RCH20P,RCH20P,0,none,none
RCH20P,BM16,-2,inhibition,none
RCH20P,RP5H,0,none,none
RCH20P,BM9,0,none,none
RCH20P,SCH11,0,none,none
BM16,KT2442,-2,inhibition,none
BM16,RDP22,-3,inhibition,none
BM16,RDP27,-3,inhibition,none
BM16,E5,-3,inhibition,none
BM16,RP5,-3,inhibition,none
BM16,BM7,0,none,none
BM16,BM12,0,none,none
BM16,BM25,0,none,none
BM16,R23,0,none,none
BM16,S20,0,none,none
BM16,RPA1,0,none,none
BM16,RPC5,0,none,none
BM16,SH9,0,none,none
BM16,RCH25,-10,inhibition,none
BM16,E15,0,none,none
BM16,BM23,0,none,none
BM16,E4,0,none,none
BM16,RPE3,0,none,none
BM16,Z2,0,none,none
BM16,RDH25,-1,inhibition,none
BM16,SCH24,-4,inhibition,none
BM16,E12,-2,inhibition,none
BM16,BM13,0,none,none
BM16,BM1,0,none,none
BM16,SCH4,0,none,none
BM16,BM4,0,none,none
BM16,RDH6,-2,inhibition,none
BM16,RCH20P,-3,inhibition,none
BM16,BM16,0,none,none
BM16,RP5H,0,none,none
BM16,BM9,0,none,none
BM16,SCH11,0,none,none
RP5H,KT2442,0,none,none
RP5H,RDP22,0,none,none
RP5H,RDP27,0,none,none
RP5H,E5,0,none,none
RP5H,RP5,0,none,none
RP5H,BM7,0,none,none
RP5H,BM12,0,none,none
RP5H,BM25,0,none,none
RP5H,R23,0,none,none
RP5H,S20,0,none,none
RP5H,RPA1,0,none,none
RP5H,RPC5,0,none,none
RP5H,SH9,0,none,none
RP5H,RCH25,-2,inhibition,none
RP5H,E15,0,none,none
RP5H,BM23,0,none,none
RP5H,E4,0,none,none
RP5H,RPE3,0,none,none
RP5H,Z2,0,none,none
RP5H,RDH25,0,none,none
RP5H,SCH24,0,none,none
RP5H,E12,0,none,none
RP5H,BM13,0,none,none
RP5H,BM1,0,none,none
RP5H,SCH4,0,none,none
RP5H,BM4,0,none,none
RP5H,RDH6,-4,inhibition,none
RP5H,RCH20P,-10,inhibition,none
RP5H,BM16,-4,inhibition,none
RP5H,RP5H,0,none,none
RP5H,BM9,0,none,none
RP5H,SCH11,0,none,none
BM9,KT2442,0,none,none
BM9,RDP22,-2,inhibition,none
BM9,RDP27,0,none,none
BM9,E5,-1,inhibition,none
BM9,RP5,0,none,none
BM9,BM7,0,none,none
BM9,BM12,0,none,none
BM9,BM25,-2,inhibition,none
BM9,R23,-1,inhibition,none
BM9,S20,0,none,none
BM9,RPA1,0,none,none
BM9,RPC5,0,none,none
BM9,SH9,0,none,none
BM9,RCH25,-4,inhibition,none
BM9,E15,0,none,none
BM9,BM23,0,none,none
BM9,E4,0,none,none
BM9,RPE3,0,none,none
BM9,Z2,0,none,none
BM9,RDH25,-1,inhibition,none
BM9,SCH24,0,none,none
BM9,E12,0,none,none
BM9,BM13,0,none,none
BM9,BM1,0,none,none
BM9,SCH4,-1,inhibition,none
BM9,BM4,-1,inhibition,none
BM9,RDH6,-1,inhibition,none
BM9,RCH20P,-5,inhibition,none
BM9,BM16,0,none,none
BM9,RP5H,0,none,none
BM9,BM9,0,none,none
BM9,SCH11,0,none,none
SCH11,KT2442,-1,inhibition,none
SCH11,RDP22,0,none,none
SCH11,RDP27,-1,inhibition,none
SCH11,E5,-1,inhibition,none
SCH11,RP5,-1,inhibition,none
SCH11,BM7,0,none,none
SCH11,BM12,0,none,none
SCH11,BM25,-1,inhibition,none
SCH11,R23,0,none,none
SCH11,S20,0,none,none
SCH11,RPA1,0,none,none
SCH11,RPC5,0,none,none
SCH11,SH9,-1,inhibition,none
SCH11,RCH25,-1,inhibition,none
SCH11,E15,0,none,none
SCH11,BM23,0,none,none
SCH11,E4,0,none,none
SCH11,RPE3,0,none,none
SCH11,Z2,0,none,none
SCH11,RDH25,-1,inhibition,none
SCH11,SCH24,0,none,none
SCH11,E12,2,none,stimulation
SCH11,BM13,0,none,none
SCH11,BM1,0,none,none
SCH11,SCH4,-1,inhibition,none
SCH11,BM4,0,none,none
SCH11,RDH6,-2,inhibition,none
SCH11,RCH20P,-1,inhibition,none
SCH11,BM16,-1,inhibition,none
SCH11,RP5H,0,none,none
SCH11,BM9,-1,inhibition,none
SCH11,SCH11,-1,inhibition,none
