,Strain.ID,name,value HB,,,,Strain_ID,name,value MRS,,,value HB,value MRS,Diff,Interpretation,,,,
180,Pseudomonas_putida_KT2442,Variovax_RPC5,-1,,,180,Pseudomonas_putida_KT2442,Variovax_RPC5,1,,,-1,1,2,FLIP,,,,
181,Sphingobium_Z2,Bacillus_SCH24,-5,,,181,Sphingobium_Z2,Bacillus_SCH24,0,,,-5,0,5,BigDiff,,,,
182,Sphingobium_Z2,Burkholderia_RCH25,-2,,,182,Sphingobium_Z2,Burkholderia_RCH25,-2,,,-2,-2,0,Identical,,,,
183,Sphingobium_Z2,Cellulosimicrobium_BM1,0,,,183,Sphingobium_Z2,Cellulosimicrobium_BM1,0,,,0,0,0,Identical,,,,
184,Sphingobium_Z2,Chryseobacterium_SCH11,0,,,184,Sphingobium_Z2,Chryseobacterium_SCH11,-1,,,0,-1,1,CloseEnough,,,,
185,Sphingobium_Z2,Dyadobacter_BM9,0,,,185,Sphingobium_Z2,Dyadobacter_BM9,0,,,0,0,0,Identical,,,,
186,Sphingobium_Z2,Ensifer_sp,-2,,,186,Sphingobium_Z2,Ensifer_BM17,-1,,,-2,-1,1,CloseEnough,,,,
187,Sphingobium_Z2,Exiguobacterium_RDH25,0,,,187,Sphingobium_Z2,Exiguobacterium_RDH25,-1,,,0,-1,1,CloseEnough,,,,
188,Sphingobium_Z2,Luteibacter_BM7,0,,,188,Sphingobium_Z2,Luteibacter_BM7,0,,,0,0,0,Identical,,,,
189,Sphingobium_Z2,Methylobacterium_RPE3,0,,,189,Sphingobium_Z2,Methylobacterium_RPE3,0,,,0,0,0,Identical,,,,
190,Sphingobium_Z2,Microbacterium_BM4,0,,,190,Sphingobium_Z2,Microbacterium_BM4,0,,,0,0,0,Identical,,,,
191,Sphingobium_Z2,Paenibacillus_E12,-2,,,191,Sphingobium_Z2,Paenibacillus_E12,-1,,,-2,-1,1,CloseEnough,,,,
192,Sphingobium_Z2,Pseudomonas_putida_KT2442,0,,,192,Sphingobium_Z2,Pseudomonas_putida_KT2442,0,,,0,0,0,Identical,,,,
193,Sphingobium_Z2,Sphingobium_Z2,0,,,193,Sphingobium_Z2,Sphingobium_Z2,0,,,0,0,0,Identical,,,,
194,Sphingobium_Z2,Streptomyces_RCH20P,0,,,194,Sphingobium_Z2,Streptomyces_RCH20P,-2,,,0,-2,2,CloseEnough,,,,
195,Sphingobium_Z2,Variovax_RPC5,0,,,195,Sphingobium_Z2,Variovax_RPC5,0,,,0,0,0,Identical,,,,
196,Streptomyces_RCH20P,Bacillus_SCH24,-3,,,196,Streptomyces_RCH20P,Bacillus_SCH24,-1,,,-3,-1,2,CloseEnough,,,,
197,Streptomyces_RCH20P,Burkholderia_RCH25,-4,,,197,Streptomyces_RCH20P,Burkholderia_RCH25,-5,,,-4,-5,1,CloseEnough,,,,
198,Streptomyces_RCH20P,Cellulosimicrobium_BM1,0,,,198,Streptomyces_RCH20P,Cellulosimicrobium_BM1,0,,,0,0,0,Identical,,,,
199,Streptomyces_RCH20P,Chryseobacterium_SCH11,0,,,199,Streptomyces_RCH20P,Chryseobacterium_SCH11,-1,,,0,-1,1,CloseEnough,,,,
200,Streptomyces_RCH20P,Dyadobacter_BM9,0,,,200,Streptomyces_RCH20P,Dyadobacter_BM9,0,,,0,0,0,Identical,,,,
201,Streptomyces_RCH20P,Ensifer_sp,1,,,201,Streptomyces_RCH20P,Ensifer_BM17,0,,,1,0,1,OneStim,,,,
202,Streptomyces_RCH20P,Exiguobacterium_RDH25,0,,,202,Streptomyces_RCH20P,Exiguobacterium_RDH25,0,,,0,0,0,Identical,,,,
203,Streptomyces_RCH20P,Luteibacter_BM7,0,,,203,Streptomyces_RCH20P,Luteibacter_BM7,0,,,0,0,0,Identical,,,,
204,Streptomyces_RCH20P,Methylobacterium_RPE3,0,,,204,Streptomyces_RCH20P,Methylobacterium_RPE3,0,,,0,0,0,Identical,,,,
205,Streptomyces_RCH20P,Microbacterium_BM4,0,,,205,Streptomyces_RCH20P,Microbacterium_BM4,0,,,0,0,0,Identical,,,,
206,Streptomyces_RCH20P,Paenibacillus_E12,0,,,206,Streptomyces_RCH20P,Paenibacillus_E12,0,,,0,0,0,Identical,,,,
207,Streptomyces_RCH20P,Pseudomonas_putida_KT2442,0,,,207,Streptomyces_RCH20P,Pseudomonas_putida_KT2442,0,,,0,0,0,Identical,,,,
208,Streptomyces_RCH20P,Sphingobium_Z2,0,,,208,Streptomyces_RCH20P,Sphingobium_Z2,0,,,0,0,0,Identical,,,,
209,Streptomyces_RCH20P,Streptomyces_RCH20P,0,,,209,Streptomyces_RCH20P,Streptomyces_RCH20P,0,,,0,0,0,Identical,,,,
210,Streptomyces_RCH20P,Variovax_RPC5,0,,,210,Streptomyces_RCH20P,Variovax_RPC5,0,,,0,0,0,Identical,,,,
211,Variovax_RPC5,Bacillus_SCH24,-1,,,211,Variovax_RPC5,Bacillus_SCH24,0,,,-1,0,1,CloseEnough,,,,
212,Variovax_RPC5,Burkholderia_RCH25,-2,,,212,Variovax_RPC5,Burkholderia_RCH25,-1,,,-2,-1,1,CloseEnough,,,,
213,Variovax_RPC5,Cellulosimicrobium_BM1,0,,,213,Variovax_RPC5,Cellulosimicrobium_BM1,0,,,0,0,0,Identical,,,,
214,Variovax_RPC5,Chryseobacterium_SCH11,0,,,214,Variovax_RPC5,Chryseobacterium_SCH11,0,,,0,0,0,Identical,,,,
215,Variovax_RPC5,Dyadobacter_BM9,0,,,215,Variovax_RPC5,Dyadobacter_BM9,1,,,0,1,1,OneStim,,,,
216,Variovax_RPC5,Ensifer_sp,0,,,216,Variovax_RPC5,Ensifer_BM17,0,,,0,0,0,Identical,,,,
217,Variovax_RPC5,Exiguobacterium_RDH25,0,,,217,Variovax_RPC5,Exiguobacterium_RDH25,0,,,0,0,0,Identical,,,,
218,Variovax_RPC5,Luteibacter_BM7,0,,,218,Variovax_RPC5,Luteibacter_BM7,0,,,0,0,0,Identical,,,,
219,Variovax_RPC5,Methylobacterium_RPE3,0,,,219,Variovax_RPC5,Methylobacterium_RPE3,0,,,0,0,0,Identical,,,,
220,Variovax_RPC5,Microbacterium_BM4,0,,,220,Variovax_RPC5,Microbacterium_BM4,0,,,0,0,0,Identical,,,,
221,Variovax_RPC5,Paenibacillus_E12,-1,,,221,Variovax_RPC5,Paenibacillus_E12,-1,,,-1,-1,0,Identical,,,,
222,Variovax_RPC5,Pseudomonas_putida_KT2442,0,,,222,Variovax_RPC5,Pseudomonas_putida_KT2442,0,,,0,0,0,Identical,,,,
223,Variovax_RPC5,Sphingobium_Z2,0,,,223,Variovax_RPC5,Sphingobium_Z2,0,,,0,0,0,Identical,,,,
224,Variovax_RPC5,Streptomyces_RCH20P,NA,,,224,Variovax_RPC5,Streptomyces_RCH20P,0,,,NA,0,NA,NA,,,,
225,Variovax_RPC5,Variovax_RPC5,0,,,225,Variovax_RPC5,Variovax_RPC5,0,,,0,0,0,Identical,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,121,Identical,61.421%,,
,,,,,,,,,,,,,,,47,Close Enough,23.858%,,
,,,,,,,,,,,,,,,25,One Stim,12.690%,,
,,,,,,,,,,,,,,,2,Big Diff,1.015%,,2.030%
,,,,,,,,,,,,,,,2,FLIP,1.015%,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,28,NA,,,
,,,,,,,,,,,,,,,,,,"1/2 TSA + Fe, 48h",
,,,,,,,,,,,,,,197,197,Totals,,,
