,Strain_ID,name,R2A 48h Final,R2A 48h Trial,Diff,Classification,,,Strain_ID,name,R2A 48h Trial,Lawn,Spot,MediaTime,Media,Time,TrialFinal
54,Massilia_sp,Exiguobacterium_RDH25,0,0,0,Identical,,,Massilia_sp,Exiguobacterium_RDH25,0,Massilia_sp,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Rep1
47,Massilia_sp,Luteibacter_BM7,0,0,0,Identical,,,Massilia_sp,Luteibacter_BM7,0,Massilia_sp,Luteibacter_BM7,R2A-48h,R2A,48h,Rep1
49,Massilia_sp,Massilia_sp,-1,0,-1,CloseEnough,,,Massilia_sp,Massilia_sp,0,Massilia_sp,Massilia_sp,R2A-48h,R2A,48h,Rep1
52,Massilia_sp,Methylobacterium_RPE3,0,0,0,Identical,,,Massilia_sp,Methylobacterium_RPE3,0,Massilia_sp,Methylobacterium_RPE3,R2A-48h,R2A,48h,Rep1
57,Massilia_sp,Microbacterium_BM4,0,0,0,Identical,,,Massilia_sp,Microbacterium_BM4,0,Massilia_sp,Microbacterium_BM4,R2A-48h,R2A,48h,Rep1
46,Massilia_sp,Pseudomonas_putida_KT2442,-1,0,-1,CloseEnough,,,Massilia_sp,Pseudomonas_putida_KT2442,0,Massilia_sp,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Rep1
53,Massilia_sp,Sphingobium_Z2,0,0,0,Identical,,,Massilia_sp,Sphingobium_Z2,0,Massilia_sp,Sphingobium_Z2,R2A-48h,R2A,48h,Rep1
58,Massilia_sp,Streptomyces_RCH20P,-1,0,-1,CloseEnough,,,Massilia_sp,Streptomyces_RCH20P,0,Massilia_sp,Streptomyces_RCH20P,R2A-48h,R2A,48h,Rep1
48,Massilia_sp,Variovax_RPC5,0,0,0,Identical,,,Massilia_sp,Variovax_RPC5,0,Massilia_sp,Variovax_RPC5,R2A-48h,R2A,48h,Rep1
100,Methylobacterium_RPE3,Bacillus_SCH24,0,-10,10,Diff,,,Methylobacterium_RPE3,Bacillus_SCH24,-10,Methylobacterium_RPE3,Bacillus_SCH24,R2A-48h,R2A,48h,Rep1
95,Methylobacterium_RPE3,Burkholderia_RCH25,-5,-5,0,Identical,,,Methylobacterium_RPE3,Burkholderia_RCH25,-5,Methylobacterium_RPE3,Burkholderia_RCH25,R2A-48h,R2A,48h,Rep1
101,Methylobacterium_RPE3,Cellulosimicrobium_BM1,0,0,0,Identical,,,Methylobacterium_RPE3,Cellulosimicrobium_BM1,0,Methylobacterium_RPE3,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Rep1
105,Methylobacterium_RPE3,Chryseobacterium_SCH11,0,0,0,Identical,,,Methylobacterium_RPE3,Chryseobacterium_SCH11,0,Methylobacterium_RPE3,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Rep1
104,Methylobacterium_RPE3,Dyadobacter_BM9,0,0,0,Identical,,,Methylobacterium_RPE3,Dyadobacter_BM9,0,Methylobacterium_RPE3,Dyadobacter_BM9,R2A-48h,R2A,48h,Rep1
96,Methylobacterium_RPE3,Ensifer_sp,0,0,0,Identical,,,Methylobacterium_RPE3,Ensifer_sp,0,Methylobacterium_RPE3,Ensifer_sp,R2A-48h,R2A,48h,Rep1
99,Methylobacterium_RPE3,Exiguobacterium_RDH25,0,0,0,Identical,,,Methylobacterium_RPE3,Exiguobacterium_RDH25,0,Methylobacterium_RPE3,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Rep1
92,Methylobacterium_RPE3,Luteibacter_BM7,0,0,0,Identical,,,Methylobacterium_RPE3,Luteibacter_BM7,0,Methylobacterium_RPE3,Luteibacter_BM7,R2A-48h,R2A,48h,Rep1
94,Methylobacterium_RPE3,Massilia_sp,-1,-1,0,Identical,,,Methylobacterium_RPE3,Massilia_sp,-1,Methylobacterium_RPE3,Massilia_sp,R2A-48h,R2A,48h,Rep1
97,Methylobacterium_RPE3,Methylobacterium_RPE3,0,0,0,Identical,,,Methylobacterium_RPE3,Methylobacterium_RPE3,0,Methylobacterium_RPE3,Methylobacterium_RPE3,R2A-48h,R2A,48h,Rep1
102,Methylobacterium_RPE3,Microbacterium_BM4,0,0,0,Identical,,,Methylobacterium_RPE3,Microbacterium_BM4,0,Methylobacterium_RPE3,Microbacterium_BM4,R2A-48h,R2A,48h,Rep1
91,Methylobacterium_RPE3,Pseudomonas_putida_KT2442,-1,-2,1,CloseEnough,,,Methylobacterium_RPE3,Pseudomonas_putida_KT2442,-2,Methylobacterium_RPE3,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Rep1
98,Methylobacterium_RPE3,Sphingobium_Z2,0,0,0,Identical,,,Methylobacterium_RPE3,Sphingobium_Z2,0,Methylobacterium_RPE3,Sphingobium_Z2,R2A-48h,R2A,48h,Rep1
103,Methylobacterium_RPE3,Streptomyces_RCH20P,-1,-1,0,Identical,,,Methylobacterium_RPE3,Streptomyces_RCH20P,-1,Methylobacterium_RPE3,Streptomyces_RCH20P,R2A-48h,R2A,48h,Rep1
93,Methylobacterium_RPE3,Variovax_RPC5,0,-2,2,CloseEnough,,,Methylobacterium_RPE3,Variovax_RPC5,-2,Methylobacterium_RPE3,Variovax_RPC5,R2A-48h,R2A,48h,Rep1
175,Microbacterium_BM4,Bacillus_SCH24,0,-5,5,Diff,,,Microbacterium_BM4,Bacillus_SCH24,-5,Microbacterium_BM4,Bacillus_SCH24,R2A-48h,R2A,48h,Rep1
170,Microbacterium_BM4,Burkholderia_RCH25,-5,-5,0,Identical,,,Microbacterium_BM4,Burkholderia_RCH25,-5,Microbacterium_BM4,Burkholderia_RCH25,R2A-48h,R2A,48h,Rep1
176,Microbacterium_BM4,Cellulosimicrobium_BM1,-1,0,-1,CloseEnough,,,Microbacterium_BM4,Cellulosimicrobium_BM1,0,Microbacterium_BM4,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Rep1
180,Microbacterium_BM4,Chryseobacterium_SCH11,1,0,1,CloseEnough,,,Microbacterium_BM4,Chryseobacterium_SCH11,0,Microbacterium_BM4,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Rep1
179,Microbacterium_BM4,Dyadobacter_BM9,0,0,0,Identical,,,Microbacterium_BM4,Dyadobacter_BM9,0,Microbacterium_BM4,Dyadobacter_BM9,R2A-48h,R2A,48h,Rep1
171,Microbacterium_BM4,Ensifer_sp,-2,-3,1,CloseEnough,,,Microbacterium_BM4,Ensifer_sp,-3,Microbacterium_BM4,Ensifer_sp,R2A-48h,R2A,48h,Rep1
174,Microbacterium_BM4,Exiguobacterium_RDH25,0,0,0,Identical,,,Microbacterium_BM4,Exiguobacterium_RDH25,0,Microbacterium_BM4,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Rep1
167,Microbacterium_BM4,Luteibacter_BM7,0,0,0,Identical,,,Microbacterium_BM4,Luteibacter_BM7,0,Microbacterium_BM4,Luteibacter_BM7,R2A-48h,R2A,48h,Rep1
169,Microbacterium_BM4,Massilia_sp,3,-3,6,FLIP,,,Microbacterium_BM4,Massilia_sp,-3,Microbacterium_BM4,Massilia_sp,R2A-48h,R2A,48h,Rep1
172,Microbacterium_BM4,Methylobacterium_RPE3,0,0,0,Identical,,,Microbacterium_BM4,Methylobacterium_RPE3,0,Microbacterium_BM4,Methylobacterium_RPE3,R2A-48h,R2A,48h,Rep1
177,Microbacterium_BM4,Microbacterium_BM4,0,0,0,Identical,,,Microbacterium_BM4,Microbacterium_BM4,0,Microbacterium_BM4,Microbacterium_BM4,R2A-48h,R2A,48h,Rep1
166,Microbacterium_BM4,Pseudomonas_putida_KT2442,-2,-4,2,CloseEnough,,,Microbacterium_BM4,Pseudomonas_putida_KT2442,-4,Microbacterium_BM4,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Rep1
173,Microbacterium_BM4,Sphingobium_Z2,0,-4,4,Diff,,,Microbacterium_BM4,Sphingobium_Z2,-4,Microbacterium_BM4,Sphingobium_Z2,R2A-48h,R2A,48h,Rep1
178,Microbacterium_BM4,Streptomyces_RCH20P,-7,-6,-1,CloseEnough,,,Microbacterium_BM4,Streptomyces_RCH20P,-6,Microbacterium_BM4,Streptomyces_RCH20P,R2A-48h,R2A,48h,Rep1
168,Microbacterium_BM4,Variovax_RPC5,-2,-4,2,CloseEnough,,,Microbacterium_BM4,Variovax_RPC5,-4,Microbacterium_BM4,Variovax_RPC5,R2A-48h,R2A,48h,Rep1
10,Pseudomonas_putida_KT2442,Bacillus_SCH24,0,-1,1,CloseEnough,,,Pseudomonas_putida_KT2442,Bacillus_SCH24,-1,Pseudomonas_putida_KT2442,Bacillus_SCH24,R2A-48h,R2A,48h,Rep1
5,Pseudomonas_putida_KT2442,Burkholderia_RCH25,0,0,0,Identical,,,Pseudomonas_putida_KT2442,Burkholderia_RCH25,0,Pseudomonas_putida_KT2442,Burkholderia_RCH25,R2A-48h,R2A,48h,Rep1
11,Pseudomonas_putida_KT2442,Cellulosimicrobium_BM1,0,0,0,Identical,,,Pseudomonas_putida_KT2442,Cellulosimicrobium_BM1,0,Pseudomonas_putida_KT2442,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Rep1
15,Pseudomonas_putida_KT2442,Chryseobacterium_SCH11,0,1,-1,CloseEnough,,,Pseudomonas_putida_KT2442,Chryseobacterium_SCH11,1,Pseudomonas_putida_KT2442,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Rep1
14,Pseudomonas_putida_KT2442,Dyadobacter_BM9,0,0,0,Identical,,,Pseudomonas_putida_KT2442,Dyadobacter_BM9,0,Pseudomonas_putida_KT2442,Dyadobacter_BM9,R2A-48h,R2A,48h,Rep1
6,Pseudomonas_putida_KT2442,Ensifer_sp,-1,0,-1,CloseEnough,,,Pseudomonas_putida_KT2442,Ensifer_sp,0,Pseudomonas_putida_KT2442,Ensifer_sp,R2A-48h,R2A,48h,Rep1
9,Pseudomonas_putida_KT2442,Exiguobacterium_RDH25,0,-1,1,CloseEnough,,,Pseudomonas_putida_KT2442,Exiguobacterium_RDH25,-1,Pseudomonas_putida_KT2442,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Rep1
2,Pseudomonas_putida_KT2442,Luteibacter_BM7,0,0,0,Identical,,,Pseudomonas_putida_KT2442,Luteibacter_BM7,0,Pseudomonas_putida_KT2442,Luteibacter_BM7,R2A-48h,R2A,48h,Rep1
4,Pseudomonas_putida_KT2442,Massilia_sp,-1,0,-1,CloseEnough,,,Pseudomonas_putida_KT2442,Massilia_sp,0,Pseudomonas_putida_KT2442,Massilia_sp,R2A-48h,R2A,48h,Rep1
7,Pseudomonas_putida_KT2442,Methylobacterium_RPE3,0,0,0,Identical,,,Pseudomonas_putida_KT2442,Methylobacterium_RPE3,0,Pseudomonas_putida_KT2442,Methylobacterium_RPE3,R2A-48h,R2A,48h,Rep1
12,Pseudomonas_putida_KT2442,Microbacterium_BM4,-1,0,-1,CloseEnough,,,Pseudomonas_putida_KT2442,Microbacterium_BM4,0,Pseudomonas_putida_KT2442,Microbacterium_BM4,R2A-48h,R2A,48h,Rep1
1,Pseudomonas_putida_KT2442,Pseudomonas_putida_KT2442,-1,0,-1,CloseEnough,,,Pseudomonas_putida_KT2442,Pseudomonas_putida_KT2442,0,Pseudomonas_putida_KT2442,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Rep1
8,Pseudomonas_putida_KT2442,Sphingobium_Z2,0,0,0,Identical,,,Pseudomonas_putida_KT2442,Sphingobium_Z2,0,Pseudomonas_putida_KT2442,Sphingobium_Z2,R2A-48h,R2A,48h,Rep1
13,Pseudomonas_putida_KT2442,Streptomyces_RCH20P,0,0,0,Identical,,,Pseudomonas_putida_KT2442,Streptomyces_RCH20P,0,Pseudomonas_putida_KT2442,Streptomyces_RCH20P,R2A-48h,R2A,48h,Rep1
3,Pseudomonas_putida_KT2442,Variovax_RPC5,0,0,0,Identical,,,Pseudomonas_putida_KT2442,Variovax_RPC5,0,Pseudomonas_putida_KT2442,Variovax_RPC5,R2A-48h,R2A,48h,Rep1
115,Sphingobium_Z2,Bacillus_SCH24,0,-5,5,Diff,,,Sphingobium_Z2,Bacillus_SCH24,-5,Sphingobium_Z2,Bacillus_SCH24,R2A-48h,R2A,48h,Rep1
110,Sphingobium_Z2,Burkholderia_RCH25,-2,0,-2,CloseEnough,,,Sphingobium_Z2,Burkholderia_RCH25,0,Sphingobium_Z2,Burkholderia_RCH25,R2A-48h,R2A,48h,Rep1
116,Sphingobium_Z2,Cellulosimicrobium_BM1,3,0,3,OneZero,,,Sphingobium_Z2,Cellulosimicrobium_BM1,0,Sphingobium_Z2,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Rep1
120,Sphingobium_Z2,Chryseobacterium_SCH11,0,0,0,Identical,,,Sphingobium_Z2,Chryseobacterium_SCH11,0,Sphingobium_Z2,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Rep1
119,Sphingobium_Z2,Dyadobacter_BM9,0,0,0,Identical,,,Sphingobium_Z2,Dyadobacter_BM9,0,Sphingobium_Z2,Dyadobacter_BM9,R2A-48h,R2A,48h,Rep1
111,Sphingobium_Z2,Ensifer_sp,0,0,0,Identical,,,Sphingobium_Z2,Ensifer_sp,0,Sphingobium_Z2,Ensifer_sp,R2A-48h,R2A,48h,Rep1
114,Sphingobium_Z2,Exiguobacterium_RDH25,-1,-5,4,Diff,,,Sphingobium_Z2,Exiguobacterium_RDH25,-5,Sphingobium_Z2,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Rep1
107,Sphingobium_Z2,Luteibacter_BM7,0,0,0,Identical,,,Sphingobium_Z2,Luteibacter_BM7,0,Sphingobium_Z2,Luteibacter_BM7,R2A-48h,R2A,48h,Rep1
109,Sphingobium_Z2,Massilia_sp,0,-1,1,CloseEnough,,,Sphingobium_Z2,Massilia_sp,-1,Sphingobium_Z2,Massilia_sp,R2A-48h,R2A,48h,Rep1
112,Sphingobium_Z2,Methylobacterium_RPE3,0,0,0,Identical,,,Sphingobium_Z2,Methylobacterium_RPE3,0,Sphingobium_Z2,Methylobacterium_RPE3,R2A-48h,R2A,48h,Rep1
117,Sphingobium_Z2,Microbacterium_BM4,-1,0,-1,CloseEnough,,,Sphingobium_Z2,Microbacterium_BM4,0,Sphingobium_Z2,Microbacterium_BM4,R2A-48h,R2A,48h,Rep1
106,Sphingobium_Z2,Pseudomonas_putida_KT2442,0,-3,3,OneZero,,,Sphingobium_Z2,Pseudomonas_putida_KT2442,-3,Sphingobium_Z2,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Rep1
113,Sphingobium_Z2,Sphingobium_Z2,-1,0,-1,CloseEnough,,,Sphingobium_Z2,Sphingobium_Z2,0,Sphingobium_Z2,Sphingobium_Z2,R2A-48h,R2A,48h,Rep1
118,Sphingobium_Z2,Streptomyces_RCH20P,-1,-2,1,CloseEnough,,,Sphingobium_Z2,Streptomyces_RCH20P,-2,Sphingobium_Z2,Streptomyces_RCH20P,R2A-48h,R2A,48h,Rep1
108,Sphingobium_Z2,Variovax_RPC5,0,0,0,Identical,,,Sphingobium_Z2,Variovax_RPC5,0,Sphingobium_Z2,Variovax_RPC5,R2A-48h,R2A,48h,Rep1
190,Streptomyces_RCH20P,Bacillus_SCH24,-2,-2,0,Identical,,,Streptomyces_RCH20P,Bacillus_SCH24,-2,Streptomyces_RCH20P,Bacillus_SCH24,R2A-48h,R2A,48h,Rep1
185,Streptomyces_RCH20P,Burkholderia_RCH25,-2,-1,-1,CloseEnough,,,Streptomyces_RCH20P,Burkholderia_RCH25,-1,Streptomyces_RCH20P,Burkholderia_RCH25,R2A-48h,R2A,48h,Rep1
191,Streptomyces_RCH20P,Cellulosimicrobium_BM1,0,0,0,Identical,,,Streptomyces_RCH20P,Cellulosimicrobium_BM1,0,Streptomyces_RCH20P,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Rep1
195,Streptomyces_RCH20P,Chryseobacterium_SCH11,0,0,0,Identical,,,Streptomyces_RCH20P,Chryseobacterium_SCH11,0,Streptomyces_RCH20P,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Rep1
194,Streptomyces_RCH20P,Dyadobacter_BM9,0,0,0,Identical,,,Streptomyces_RCH20P,Dyadobacter_BM9,0,Streptomyces_RCH20P,Dyadobacter_BM9,R2A-48h,R2A,48h,Rep1
186,Streptomyces_RCH20P,Ensifer_sp,0,0,0,Identical,,,Streptomyces_RCH20P,Ensifer_sp,0,Streptomyces_RCH20P,Ensifer_sp,R2A-48h,R2A,48h,Rep1
189,Streptomyces_RCH20P,Exiguobacterium_RDH25,0,0,0,Identical,,,Streptomyces_RCH20P,Exiguobacterium_RDH25,0,Streptomyces_RCH20P,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Rep1
182,Streptomyces_RCH20P,Luteibacter_BM7,0,0,0,Identical,,,Streptomyces_RCH20P,Luteibacter_BM7,0,Streptomyces_RCH20P,Luteibacter_BM7,R2A-48h,R2A,48h,Rep1
184,Streptomyces_RCH20P,Massilia_sp,2,-1,3,FLIP,,,Streptomyces_RCH20P,Massilia_sp,-1,Streptomyces_RCH20P,Massilia_sp,R2A-48h,R2A,48h,Rep1
187,Streptomyces_RCH20P,Methylobacterium_RPE3,-1,0,-1,CloseEnough,,,Streptomyces_RCH20P,Methylobacterium_RPE3,0,Streptomyces_RCH20P,Methylobacterium_RPE3,R2A-48h,R2A,48h,Rep1
192,Streptomyces_RCH20P,Microbacterium_BM4,0,0,0,Identical,,,Streptomyces_RCH20P,Microbacterium_BM4,0,Streptomyces_RCH20P,Microbacterium_BM4,R2A-48h,R2A,48h,Rep1
181,Streptomyces_RCH20P,Pseudomonas_putida_KT2442,-2,-2,0,Identical,,,Streptomyces_RCH20P,Pseudomonas_putida_KT2442,-2,Streptomyces_RCH20P,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Rep1
188,Streptomyces_RCH20P,Sphingobium_Z2,0,0,0,Identical,,,Streptomyces_RCH20P,Sphingobium_Z2,0,Streptomyces_RCH20P,Sphingobium_Z2,R2A-48h,R2A,48h,Rep1
193,Streptomyces_RCH20P,Streptomyces_RCH20P,0,-2,2,CloseEnough,,,Streptomyces_RCH20P,Streptomyces_RCH20P,-2,Streptomyces_RCH20P,Streptomyces_RCH20P,R2A-48h,R2A,48h,Rep1
183,Streptomyces_RCH20P,Variovax_RPC5,0,0,0,Identical,,,Streptomyces_RCH20P,Variovax_RPC5,0,Streptomyces_RCH20P,Variovax_RPC5,R2A-48h,R2A,48h,Rep1
40,Variovax_RPC5,Bacillus_SCH24,-8,-9,1,CloseEnough,,,Variovax_RPC5,Bacillus_SCH24,-9,Variovax_RPC5,Bacillus_SCH24,R2A-48h,R2A,48h,Rep1
35,Variovax_RPC5,Burkholderia_RCH25,-6,-9,3,CloseEnough,,,Variovax_RPC5,Burkholderia_RCH25,-9,Variovax_RPC5,Burkholderia_RCH25,R2A-48h,R2A,48h,Rep1
41,Variovax_RPC5,Cellulosimicrobium_BM1,2,-1,3,FLIP,,,Variovax_RPC5,Cellulosimicrobium_BM1,-1,Variovax_RPC5,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Rep1
45,Variovax_RPC5,Chryseobacterium_SCH11,-1,-1,0,Identical,,,Variovax_RPC5,Chryseobacterium_SCH11,-1,Variovax_RPC5,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Rep1
44,Variovax_RPC5,Dyadobacter_BM9,-2,-1,-1,CloseEnough,,,Variovax_RPC5,Dyadobacter_BM9,-1,Variovax_RPC5,Dyadobacter_BM9,R2A-48h,R2A,48h,Rep1
36,Variovax_RPC5,Ensifer_sp,1,-10,11,FLIP,,,Variovax_RPC5,Ensifer_sp,-10,Variovax_RPC5,Ensifer_sp,R2A-48h,R2A,48h,Rep1
39,Variovax_RPC5,Exiguobacterium_RDH25,-3,0,-3,OneZero,,,Variovax_RPC5,Exiguobacterium_RDH25,0,Variovax_RPC5,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Rep1
32,Variovax_RPC5,Luteibacter_BM7,0,-1,1,CloseEnough,,,Variovax_RPC5,Luteibacter_BM7,-1,Variovax_RPC5,Luteibacter_BM7,R2A-48h,R2A,48h,Rep1
34,Variovax_RPC5,Massilia_sp,-1,-1,0,Identical,,,Variovax_RPC5,Massilia_sp,-1,Variovax_RPC5,Massilia_sp,R2A-48h,R2A,48h,Rep1
37,Variovax_RPC5,Methylobacterium_RPE3,1,0,1,CloseEnough,,,Variovax_RPC5,Methylobacterium_RPE3,0,Variovax_RPC5,Methylobacterium_RPE3,R2A-48h,R2A,48h,Rep1
42,Variovax_RPC5,Microbacterium_BM4,-1,-3,2,CloseEnough,,,Variovax_RPC5,Microbacterium_BM4,-3,Variovax_RPC5,Microbacterium_BM4,R2A-48h,R2A,48h,Rep1
31,Variovax_RPC5,Pseudomonas_putida_KT2442,-1,-3,2,CloseEnough,,,Variovax_RPC5,Pseudomonas_putida_KT2442,-3,Variovax_RPC5,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Rep1
38,Variovax_RPC5,Sphingobium_Z2,-1,0,-1,CloseEnough,,,Variovax_RPC5,Sphingobium_Z2,0,Variovax_RPC5,Sphingobium_Z2,R2A-48h,R2A,48h,Rep1
43,Variovax_RPC5,Streptomyces_RCH20P,-1,-1,0,Identical,,,Variovax_RPC5,Streptomyces_RCH20P,-1,Variovax_RPC5,Streptomyces_RCH20P,R2A-48h,R2A,48h,Rep1
33,Variovax_RPC5,Variovax_RPC5,-3,-3,0,Identical,,,Variovax_RPC5,Variovax_RPC5,-3,Variovax_RPC5,Variovax_RPC5,R2A-48h,R2A,48h,Rep1
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,125,Identical,,,,,,,,,,
,,,,,,81,CloseEnough (< 3 mm difference),,,,,,,,,,
,,,,,,7,One value is a 0 (> 3 mm difference),,,,,,,,,,
,,,,,,6,Big difference (> 3 mm),,,,,,,,,,
,,,,,,6,Flip from stim to inhib,,,,,,,,,,
,,,,,,225,SUM,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,8.44%,of interactions have a sizeable difference ,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,48h results R2A,,,,,,,,,,,
