,Strain_ID,name,R2A 48h Trial,Lawn,Spot,MediaTime,Media,Time,TrialFinal
25,Streptomyces_RCH20P,Cellulosimicrobium_BM1,0,Streptomyces_RCH20P,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Trial
29,Streptomyces_RCH20P,Chryseobacterium_SCH11,0,Streptomyces_RCH20P,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Trial
28,Streptomyces_RCH20P,Dyadobacter_BM9,0,Streptomyces_RCH20P,Dyadobacter_BM9,R2A-48h,R2A,48h,Trial
18,Streptomyces_RCH20P,Ensifer_sp,0,Streptomyces_RCH20P,Ensifer_sp,R2A-48h,R2A,48h,Trial
23,Streptomyces_RCH20P,Exiguobacterium_RDH25,0,Streptomyces_RCH20P,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Trial
27,Streptomyces_RCH20P,Luteibacter_BM7,0,Streptomyces_RCH20P,Luteibacter_BM7,R2A-48h,R2A,48h,Trial
21,Streptomyces_RCH20P,Massilia_sp,-1,Streptomyces_RCH20P,Massilia_sp,R2A-48h,R2A,48h,Trial
30,Streptomyces_RCH20P,Methylobacterium_RPE3,0,Streptomyces_RCH20P,Methylobacterium_RPE3,R2A-48h,R2A,48h,Trial
26,Streptomyces_RCH20P,Microbacterium_BM4,0,Streptomyces_RCH20P,Microbacterium_BM4,R2A-48h,R2A,48h,Trial
16,Streptomyces_RCH20P,Pseudomonas_putida_KT2442,-2,Streptomyces_RCH20P,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Trial
19,Streptomyces_RCH20P,Sphingobium_Z2,0,Streptomyces_RCH20P,Sphingobium_Z2,R2A-48h,R2A,48h,Trial
17,Streptomyces_RCH20P,Streptomyces_RCH20P,-2,Streptomyces_RCH20P,Streptomyces_RCH20P,R2A-48h,R2A,48h,Trial
20,Streptomyces_RCH20P,Variovax_RPC5,0,Streptomyces_RCH20P,Variovax_RPC5,R2A-48h,R2A,48h,Trial
69,Variovax_RPC5,Bacillus_SCH24,-9,Variovax_RPC5,Bacillus_SCH24,R2A-48h,R2A,48h,Trial
67,Variovax_RPC5,Burkholderia_RCH25,-9,Variovax_RPC5,Burkholderia_RCH25,R2A-48h,R2A,48h,Trial
70,Variovax_RPC5,Cellulosimicrobium_BM1,-1,Variovax_RPC5,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Trial
74,Variovax_RPC5,Chryseobacterium_SCH11,-1,Variovax_RPC5,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Trial
73,Variovax_RPC5,Dyadobacter_BM9,-1,Variovax_RPC5,Dyadobacter_BM9,R2A-48h,R2A,48h,Trial
63,Variovax_RPC5,Ensifer_sp,-10,Variovax_RPC5,Ensifer_sp,R2A-48h,R2A,48h,Trial
68,Variovax_RPC5,Exiguobacterium_RDH25,0,Variovax_RPC5,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Trial
72,Variovax_RPC5,Luteibacter_BM7,-1,Variovax_RPC5,Luteibacter_BM7,R2A-48h,R2A,48h,Trial
66,Variovax_RPC5,Massilia_sp,-1,Variovax_RPC5,Massilia_sp,R2A-48h,R2A,48h,Trial
75,Variovax_RPC5,Methylobacterium_RPE3,0,Variovax_RPC5,Methylobacterium_RPE3,R2A-48h,R2A,48h,Trial
71,Variovax_RPC5,Microbacterium_BM4,-3,Variovax_RPC5,Microbacterium_BM4,R2A-48h,R2A,48h,Trial
61,Variovax_RPC5,Pseudomonas_putida_KT2442,-3,Variovax_RPC5,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Trial
64,Variovax_RPC5,Sphingobium_Z2,0,Variovax_RPC5,Sphingobium_Z2,R2A-48h,R2A,48h,Trial
62,Variovax_RPC5,Streptomyces_RCH20P,-1,Variovax_RPC5,Streptomyces_RCH20P,R2A-48h,R2A,48h,Trial
65,Variovax_RPC5,Variovax_RPC5,-3,Variovax_RPC5,Variovax_RPC5,R2A-48h,R2A,48h,Trial
